"Id","Date","Time","Question","Details","Answer","Notes","Entered By","What type of questions?","What tools were used?","What forms were used?","If Technology Question:","Was the patron referred elsewhere?"
"o18760559","2017-11-30","13:55","","","75","","Circulation Student","Head Count - Concourse","blank","blank","blank","blank"
"o18758388","2017-11-30","12:26","","","49","","Circulation Student","Head Count - Concourse","blank","blank","blank","blank"
"o18755320","2017-11-30","10:00","","","18","","Circulation Student","Head Count - Concourse","blank","blank","blank","blank"
"o18746409","2017-11-30","08:16","","","0","","Circulation Student","Head Count - Concourse","blank","blank","blank","blank"
"o18745812","2017-11-30","00:13","","","10","","Circulation Student","Head Count - Concourse","blank","blank","blank","blank"
"o18745123","2017-11-29","22:02","","","46","","Circulation Student","Head Count - Concourse","blank","blank","blank","blank"
"o18744185","2017-11-29","20:28","","","72","","Circulation Student","Head Count - Concourse","blank","blank","blank","blank"
"o18742045","2017-11-29","17:58","","","80","","Circulation Student","Head Count - Concourse","blank","blank","blank","blank"
"o18739634","2017-11-29","15:58","","","80","","Circulation Student","Head Count - Concourse","blank","blank","blank","blank"
"o18737594","2017-11-29","14:37","","","102","","Circulation Student","Head Count - Concourse","blank","blank","blank","blank"
"o18733478","2017-11-29","11:53","","","38","","Circulation Student","Head Count - Concourse","blank","blank","blank","blank"
"o18731015","2017-11-29","10:06","","","11","","Circulation Student","Head Count - Concourse","blank","blank","blank","blank"
"o18728462","2017-11-29","00:06","","","9","","Circulation Student","Head Count - Concourse","blank","blank","blank","blank"
"o18727996","2017-11-28","22:18","","","32","","Circulation Student","Head Count - Concourse","blank","blank","blank","blank"
"o18726937","2017-11-28","20:18","46","","","","Circulation Student","Head Count - Concourse","blank","blank","blank","blank"
"o18725230","2017-11-28","18:16","47","","","","Circulation Student","Head Count - Concourse","blank","blank","blank","blank"
"o18722435","2017-11-28","16:01","","","75","","Circulation Student","Head Count - Concourse","blank","blank","blank","blank"
"o18719519","2017-11-28","14:01","","","25","","Circulation Student","Head Count - Concourse","blank","blank","blank","blank"
"o18716284","2017-11-28","11:53","","","55","","Circulation Student","Head Count - Concourse","blank","blank","blank","blank"
"o18712817","2017-11-28","08:22","","","0","","Circulation Student","Head Count - Concourse","blank","blank","blank","blank"
"o18712017","2017-11-28","00:03","","10","","","Circulation Student","Head Count - Concourse","blank","blank","blank","blank"
"o18711451","2017-11-27","22:16","","","48","","Circulation Student","Head Count - Concourse","blank","blank","blank","blank"
"o18708385","2017-11-27","18:19","","38","38","","Circulation Student","Head Count - Concourse","blank","blank","blank","blank"
"o18705738","2017-11-27","16:24","85","","","","Circulation Student","Head Count - Concourse","blank","blank","blank","blank"
