"Id","Date","Time","Question","Details","Answer","Notes","Entered By","What type of questions?","What tools were used?","What forms were used?","If Technology Question:","Was the patron referred elsewhere?"
"o18746299","2017-11-30","07:37","","383247","","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o18729061","2017-11-29","07:40","","375876","","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o18712815","2017-11-28","08:22","","","P369995","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o18694856","2017-11-27","08:18","","","P363703","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o18690503","2017-11-26","11:23","","","362289","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o18646239","2017-11-22","08:03","","","361973","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o18632220","2017-11-21","08:15","","","P359055","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o18616766","2017-11-20","08:13","","","P353270","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o18612325","2017-11-19","11:21","","","350032","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o18609131","2017-11-18","09:52","","P3484589","","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o18599128","2017-11-17","08:18","","","P344941","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o18583422","2017-11-16","07:40","","338120","","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o18552601","2017-11-15","07:41","","331841","","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o18533652","2017-11-14","08:14","","","P326023","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o18514914","2017-11-13","08:17","","","P319356","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o18509289","2017-11-12","11:21","","","316141","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o18505634","2017-11-11","09:38","","","P314162","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o18497387","2017-11-10","08:14","","","P310481","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o18462475","2017-11-08","07:41","","297837","","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o18443984","2017-11-07","07:32","","","291479","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o18426034","2017-11-06","09:04","","","","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o18419676","2017-11-05","11:35","","","282613","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o18415672","2017-11-04","09:51","",""," <br />
P209264","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o18404807","2017-11-03","08:08","","","P277696","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o18386856","2017-11-02","08:44","","","P271581","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o18367963","2017-11-01","07:42","","265923","","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o18351579","2017-10-31","08:22","","","P260908","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o18332530","2017-10-30","08:10","","","P254120","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o18326432","2017-10-29","11:10","","","251991","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o18311834","2017-10-27","08:21","","","P246884","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o18295232","2017-10-26","07:41","","","","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o18295231","2017-10-26","07:41","","","","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o18295230","2017-10-26","07:40","","240852","","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o18276119","2017-10-25","07:38","","","","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o18276118","2017-10-25","07:38","","234900","","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o18257286","2017-10-24","08:13","","","P229429","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o18236864","2017-10-23","08:14","","","P222994","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o18230809","2017-10-22","11:24","","","220115","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o18227367","2017-10-21","10:57","","","P218829","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o18216893","2017-10-20","08:09","","","P215354","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o18004000","2017-10-19","07:42","","208939","","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17984765","2017-10-18","07:44","","202559","","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17965959","2017-10-17","08:15","","","P196098","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17845807","2017-10-16","08:10","","","P189174","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17839639","2017-10-15","11:19","","","185582","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17825879","2017-10-13","07:48","","","181880","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17809183","2017-10-12","07:40","","175347","","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17789920","2017-10-11","07:42","","168592","","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17770194","2017-10-10","07:43","","166863","","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17732248","2017-10-06","08:00","","","163659","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17694778","2017-10-04","07:43","","150811","","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17675315","2017-10-03","08:09","","","P144649","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17654939","2017-10-02","08:15","","","P137965","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17648871","2017-10-01","11:16","","","134819","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17644997","2017-09-30","09:58","","","A004812<br />
P133282","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17632854","2017-09-29","08:22","","","P129484","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17613017","2017-09-28","07:47","","123111","","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17591349","2017-09-27","07:41","","116229","","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17569013","2017-09-26","08:00","","","109534<br />","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17545441","2017-09-25","07:59","","","102179","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17538148","2017-09-24","11:33","","","099122","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17534101","2017-09-23","10:26","","","P096858","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17521882","2017-09-22","08:21","","","P093364","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17502241","2017-09-21","07:44","","","87223","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17481286","2017-09-20","07:42","","","81463","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17459759","2017-09-19","08:12","","","P075665","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17434911","2017-09-18","07:51","","","69440<br />","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17427649","2017-09-17","11:24","","","066580","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17423918","2017-09-16","10:13","","","A004203<br />
P064458","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17272783","2017-09-15","08:06","","","P060811","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17253036","2017-09-14","07:38","","","55095","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17232229","2017-09-13","07:45","","","49798","","Circulation Student","Gate Count","blank","blank","blank","blank"
"o17212371","2017-09-12","08:12","","","P044653","","Circulation Student","Gate Count","blank","blank","blank","blank"
