"Id","Date","Time","Question","Details","Answer","Notes","Entered By","What type of questions?","What tools were used?","What forms were used?","If Technology Question:","Was the patron referred elsewhere?"
"o18760556","2017-11-30","13:55","","","29","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18758386","2017-11-30","12:26","","","20","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18755321","2017-11-30","10:00","","","16","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18746411","2017-11-30","08:16","","","0","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18745815","2017-11-30","00:13","","","6","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18745124","2017-11-29","22:02","","","31","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18744187","2017-11-29","20:29","","","37","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18742040","2017-11-29","17:58","","","38","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18739636","2017-11-29","15:58","","","32","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18737597","2017-11-29","14:37","","","39","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18733472","2017-11-29","11:53","","","24","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18731016","2017-11-29","10:07","","","6","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18728464","2017-11-29","00:06","","","3","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18727997","2017-11-28","22:19","","","7","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18726940","2017-11-28","20:18","18","","","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18725233","2017-11-28","18:16","20","","","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18722438","2017-11-28","16:01","","","32","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18719520","2017-11-28","14:01","","","12","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18716286","2017-11-28","11:53","","","11","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18712818","2017-11-28","08:22","","","1","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18712020","2017-11-28","00:04","","6","","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18711452","2017-11-27","22:17","","","33","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18708383","2017-11-27","18:19","","20","20","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18705739","2017-11-27","16:24","38","","","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18701574","2017-11-27","13:55","","","29","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18696037","2017-11-27","10:02","","","9","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18694859","2017-11-27","08:18","","","0","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18693968","2017-11-26","23:57","","","2","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18693670","2017-11-26","22:10","","","7","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18693086","2017-11-26","20:05","","","19","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18692312","2017-11-26","18:04","","7","","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18691602","2017-11-26","16:02","","","3","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18691071","2017-11-26","14:17","","2","","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18690570","2017-11-26","12:13","","","0","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18685685","2017-11-22","16:00","","","0","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18682921","2017-11-22","13:50","","","0","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18681775","2017-11-22","12:05","","","0","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18681181","2017-11-22","11:15","","","1","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18645027","2017-11-21","19:58","","","0","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18643972","2017-11-21","17:56","","","1","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18642347","2017-11-21","16:10","","","3","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18637737","2017-11-21","13:58","","","10","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18635294","2017-11-21","11:58","","","12","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18633086","2017-11-21","09:58","","","6","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18632223","2017-11-21","08:15","","","3","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18631529","2017-11-21","00:11","","","3","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18631082","2017-11-20","22:08","","","22","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18630157","2017-11-20","20:11","","14","","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18629002","2017-11-20","18:13","","","19","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18626698","2017-11-20","16:08","","","37","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18623213","2017-11-20","13:49","","","26","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18620702","2017-11-20","12:10","","","20","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18618047","2017-11-20","10:11","","","8","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18616769","2017-11-20","08:14","","","0","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
"o18616027","2017-11-19","23:59","","","7","","Circulation Student","Head Count - Ground","blank","blank","blank","blank"
