"Id","Date","Time","Question","Details","Answer","Notes","Entered By","What type of questions?","What tools were used?","What forms were used?","If Technology Question:","Was the patron referred elsewhere?"
"o18760562","2017-11-30","13:55","","","155","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18758390","2017-11-30","12:26","","","162","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18755316","2017-11-30","10:00","","","61","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18746407","2017-11-30","08:16","","","14","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18745811","2017-11-30","00:13","","","54","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18745121","2017-11-29","22:01","","","142","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18744182","2017-11-29","20:28","","","144","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18742049","2017-11-29","17:58","","","200","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18739628","2017-11-29","15:57","","","162","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18737589","2017-11-29","14:37","","","225","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18733480","2017-11-29","11:53","","","177","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18731012","2017-11-29","10:06","","","64","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18728459","2017-11-29","00:06","","","25","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18727994","2017-11-28","22:18","","","122","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18726935","2017-11-28","20:18","123","","","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18725228","2017-11-28","18:16","110","","","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18722433","2017-11-28","16:01","","","188","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18719516","2017-11-28","14:01","","","105","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18716262","2017-11-28","11:52","","","179","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18712816","2017-11-28","08:22","","","16","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18712016","2017-11-28","00:03","","60","","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18711450","2017-11-27","22:16","","","103","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18708386","2017-11-27","18:19","","107","107","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18705730","2017-11-27","16:24","146","","","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18701578","2017-11-27","13:55","","","153","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18696031","2017-11-27","10:02","","","84","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18694857","2017-11-27","08:18","","","9","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18693970","2017-11-26","23:57","","","22","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18693668","2017-11-26","22:10","","","59","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18693084","2017-11-26","20:05","","","79","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18692309","2017-11-26","18:03","","69","","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18691605","2017-11-26","16:02","","","54","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18691075","2017-11-26","14:17","","57","","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18690572","2017-11-26","12:13","","","26","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18685687","2017-11-22","16:00","","","10","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18682916","2017-11-22","13:50","","","10","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18681771","2017-11-22","12:05","","","9","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18681179","2017-11-22","11:15","","","9","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18645031","2017-11-21","19:58","","","10","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
"o18643974","2017-11-21","17:56","","","35","","Circulation Student","Head Count - Main","blank","blank","blank","blank"
